2024-01-01T13:00:00Z; SUN; 1.0; -8.8; 1
2024-01-02T13:00:00Z; MON; -7.5; -9.1; 3
2024-01-03T13:00:00Z; TUE; -6.8; -12.0; 3
2024-01-04T13:00:00Z; WED; -4.7; -13.7; 3
2024-01-05T13:00:00Z; THU; 6.7; 0.1; 4
2024-01-06T13:00:00Z; FRI; -9.7; -11.9; 3
2024-01-07T13:00:00Z; SAT; 2.0; -6.0; 1
2024-01-08T13:00:00Z; SUN; 3.8; -2.0; 1
2024-01-09T13:00:00Z; MON; 10.9; -11.1; 4
2024-01-10T13:00:00Z; TUE; -7.2; -9.0; 2
2024-01-11T13:00:00Z; WED; 4.9; -7.0; 4
2024-01-12T13:00:00Z; THU; 12.7; 9.6; 2
2024-01-13T13:00:00Z; FRI; 8.4; -9.9; 3
2024-01-14T13:00:00Z; SAT; 7.1; -2.5; 2
2024-01-15T13:00:00Z; SUN; -4.1; -7.5; 2
2024-01-16T13:00:00Z; MON; 8.9; -12.8; 4
2024-01-17T13:00:00Z; TUE; 10.5; 2.3; 3
2024-01-18T13:00:00Z; WED; -3.0; -12.2; 2
2024-01-19T13:00:00Z; THU; 7.1; -1.5; 1
2024-01-20T13:00:00Z; FRI; 1.1; -4.9; 4
2024-01-21T13:00:00Z; SAT; -4.8; -11.1; 1
2024-01-22T13:00:00Z; SUN; -6.2; -9.5; 3
2024-01-23T13:00:00Z; MON; -3.9; -13.7; 2
2024-01-24T13:00:00Z; TUE; -9.3; -13.5; 1
2024-01-25T13:00:00Z; WED; -5.3; -10.7; 3
2024-01-26T13:00:00Z; THU; -5.6; -11.2; 3
2024-01-27T13:00:00Z; FRI; 1.6; -7.7; 2
2024-01-28T13:00:00Z; SAT; -9.8; -13.3; 1
2024-01-29T13:00:00Z; SUN; -9.2; -14.5; 4
2024-01-30T13:00:00Z; MON; -3.4; -10.1; 1
2024-01-31T13:00:00Z; TUE; 10.7; 0.3; 3
2024-02-01T13:00:00Z; WED; -0.1; -12.4; 2
2024-02-02T13:00:00Z; THU; 9.0; -9.8; 3
